id,furniture_id,style,room,name,type,price,image_link,purchase_link
11,CT003,MODERN,BEDROOM,JAKOBSFORS_1,COFFEE TABLE,599,https://www.dropbox.com/scl/fi/mdm360is8w7kjxk0yvmnq/Jakobsfors.jpg?rlkey=xk0e7xmmhmft6ymfi86qg1smn&st=2eg7g413&dl=1,https://www.ikea.com/my/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/
12,BKC001,MODERN,BEDROOM,BILLY,BOOKCASE,359,https://www.dropbox.com/scl/fi/sabiw10qu1q7yxejpue3f/Billy.jpg?rlkey=o31g21d0i8yqaj24ky3457021&st=nclfy74a&dl=1,https://www.ikea.com/my/en/p/billy-bookcase-black-oak-effect-20477341/
13,BKC002,MODERN,BEDROOM,BRIMNES,BOOKCASE,529,https://www.dropbox.com/scl/fi/j60a8f6e03kfn5ilthmkr/Brimnes.jpg?rlkey=iowsg86ulidh6yzbx6c424jlg&st=xp95f923&dl=1,https://www.ikea.com/my/en/p/brimnes-bookcase-black-30351685/
14,BKC003,MODERN,BEDROOM,GERSBY,BOOKCASE,129,https://www.dropbox.com/scl/fi/789r9rfoi7wb9xol0dk5b/Dykarklocka.jpg?rlkey=5qtv4185tf65143iestl3oo8h&st=5js18h2f&dl=1,https://www.ikea.com/my/en/p/gersby-bookcase-white-60360730/
15,SF001,MODERN,LIVING ROOM,SÖDERHAMN,SOFA,1690,https://www.dropbox.com/scl/fi/yzv5q3djxkd2sznrj8ekm/2025-06-09-09-44-50.jpg?rlkey=lr8cqoo9ba3jqzv8uw4p5r8nr&st=1ky49gpj&dl=1,https://www.ikea.com/my/en/p/soederhamn-3-seat-section-gransel-natural-colour-s29442093/
16,SF002,MODERN,LIVING ROOM,LILLEHEM_1,SOFA,1750,https://www.dropbox.com/scl/fi/urkxl66fh5w4yqesl2jky/2025-06-09-09-53-05.jpg?rlkey=m3gijv3trjwhl2axclt0kx1i0&st=ulc8pnd8&dl=1,https://www.ikea.com/my/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-metal-s59536306/
17,SF003,MODERN,LIVING ROOM,LINANÄS,SOFA,1495,https://www.dropbox.com/scl/fi/l873ei5fjlz02vu47ncgi/2025-06-09-10-23-56.jpg?rlkey=34ts9dc3ac9rvb2ulq3l4dhni&st=931ptcup&dl=1,https://www.ikea.com/my/en/p/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige-50512239/
18,ACH001,MODERN,LIVING ROOM,POÄNG,ARMCHAIR,309,https://www.dropbox.com/scl/fi/iseevjm28hjkzsx7c7fmg/2025-06-09-10-01-59.jpg?rlkey=u1iu76vm8q1g1f6ucmffybx24&st=163770ux&dl=1,https://www.ikea.com/my/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s19240788/
19,ACH002,MODERN,LIVING ROOM,ÅRSUNDA,ARMCHAIR,199,https://www.dropbox.com/scl/fi/pb6tg20bxpw1ypz4cxdlt/2025-06-09-10-19-11.jpg?rlkey=mmy0sgrdftdii2ubj372ms1n6&st=li912ifm&dl=1,https://www.ikea.com/my/en/p/arsunda-armchair-knisa-light-grey-70535895/
20,ACH003,MODERN,LIVING ROOM,EKENÄSET,ARMCHAIR,899,https://www.dropbox.com/scl/fi/ga9vpcy96ogg9atpg9qv8/2025-06-09-10-14-46.jpg?rlkey=bhqw9jaxmda8z7jm3et76a7qb&st=5ptstygm&dl=1,https://www.ikea.com/my/en/p/ekenaeset-armchair-kilanda-light-beige-70533491/
