id,style,room,name ,type,price ,imageLink,purchaseLink
23,MODERN,LIVING ROOM,GINSTMOTT,CURTAINS,85,https://www.dropbox.com/scl/fi/229l1i4xvse7x3o3903gq/2025-06-09-10-50-06.jpg?rlkey=72c8txhfyhbo02f2reli9dlqo&st=sk3c27ke&dl=1,https://www.ikea.com/my/en/p/ginstmott-curtains-1-pair-dark-grey-with-eyelets-70605421/
24,MODERN,LIVING ROOM,HILJA,CURTAINS,60,https://www.dropbox.com/scl/fi/lt39x6nioautnhh5yqt7c/2025-06-09-10-50-59.jpg?rlkey=3xslrc7diugux0i1i76wsamqo&st=koymanc1&dl=1,https://www.ikea.com/my/en/p/hilja-curtains-1-pair-grey-with-heading-tape-20390734/
25,COSY,LIVING ROOM,ENHET ,SHELVES,225,https://www.dropbox.com/scl/fi/ft8o1sbeue33mrhza06kn/EHNET-SHELVES.png?rlkey=zhj7h4i80hpe2bmx39h8fjseo&st=x4tg1p7c&dl=1,https://www.ikea.com/my/en/p/enhet-wall-fr-w-shelves-white-70481618/
26,COSY,LIVING ROOM,ENHET ,SHELVES,260,https://www.dropbox.com/scl/fi/ipjju1gzr6xi01pmt2vx5/ENHET-SHELVES-2.png?rlkey=v8z76ptjdgutmtnzv505s9nxd&st=y9386nlq&dl=1,https://www.ikea.com/my/en/p/enhet-wall-cb-w-2-shlvs-door-white-s89395098/
27,COSY,LIVING ROOM,ENHET OAK,SHELVES,270,https://www.dropbox.com/scl/fi/5tuc5rn4z55w7e5qq00l5/ENHET-OAK.png?rlkey=rrpan51hdei61tk9kuj1w5e8t&st=6zlbvwmh&dl=1,https://www.ikea.com/my/en/p/enhet-wall-cb-w-2-shlvs-door-white-oak-effect-s79395107/
28,COSY,LIVING ROOM,PARUP ,SOFA,2395,https://www.dropbox.com/scl/fi/794j29uvk6wbs132bd854/PARUP-SOFA.png?rlkey=dyls2p0wzhzelyt3ya3unob56&st=6gjd73yu&dl=1,https://www.ikea.com/my/en/p/paerup-3-seat-sofa-with-chaise-longue-gunnared-dark-grey-s49389829/
29,COSY,LIVING ROOM,LILLEHEM,SOFA,2070,https://www.dropbox.com/scl/fi/kilgq0gz4ulyjhq3wiqpe/LILLEHEM-SOFA.png?rlkey=0l6ih2y4se85ip7lrr2u2q0ql&st=flxxy305&dl=1,https://www.ikea.com/my/en/p/lillehem-3-seat-modular-sofa-w-chaise-longue-gunnared-dark-grey-wood-s49570409/
30,COSY,LIVING ROOM,VIMLE,SOFA,2775,https://www.dropbox.com/scl/fi/3ycjq1n6tolot58qe6n2n/VIMLE-SOFA.png?rlkey=9s2xg7kc3jj273dc6q81vn0nq&st=cu0qnue2&dl=1,https://www.ikea.com/my/en/p/vimle-3-seat-sofa-gunnared-medium-grey-s99399029/
31,COSY,LIVING ROOM,BORGEBY,TABLE COFFEE,399,https://www.dropbox.com/scl/fi/cdjmto4fbkqyzph6pxgxq/BORGEBY-COFFEE-TABLE.png?rlkey=pwuvi2e8dza0oesbksdmha686&st=y9vdio36&dl=1,https://www.ikea.com/my/en/p/borgeby-coffee-table-birch-veneer-70449402/
32,COSY,LIVING ROOM,MOXBODA,TABLE COFFEE,299,https://www.dropbox.com/scl/fi/9ah30muyfqdsed4khflof/MOXBODA-COFFEE-TABLE.png?rlkey=ige8sdio9ytfo8fk3r2wbxqmx&st=3jsu3vcr&dl=1,https://www.ikea.com/my/en/p/moxboda-coffee-table-foldable-bamboo-90543088/
33,COSY,LIVING ROOM,JAKOBSFORS,TABLE COFFEE,599,https://www.dropbox.com/scl/fi/vufwvr1ud5z5909kzzt9s/JAKOBSFORS-COFFEE-TABLE.png?rlkey=wle3d4krxbwsdi2b9b17xrijp&st=uhg3qj2j&dl=1,https://www.ikea.com/my/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/
34,COSY,LIVING ROOM,KALLAX,DRAWER,85,https://www.dropbox.com/scl/fi/1bj828a7kh6jg30y6hsvd/KALLAX-DRAWER.png?rlkey=l0x98brt4hksje2j2qvb7jumt&st=48rmf91e&dl=1,https://www.ikea.com/my/en/p/kallax-insert-with-2-drawers-white-stained-oak-effect-80362912/#content
35,COSY,LIVING ROOM,KALLAX 2,DRAWER,399,https://www.dropbox.com/scl/fi/vxe629gvpzt7rcolke59e/KALLAX-2.png?rlkey=i5o8bjxra024kpn2boiau8y1g&st=sa77sbk3&dl=1,https://www.ikea.com/my/en/p/kallax-shelving-unit-with-2-inserts-white-s59278294/
