id,furniture_id,style,room,name,type,price,image_link,purchase_link
104,L003,MODERN,BEDROOM,MUDDERVERK,lamp,129,https://www.ikea.com/my/en/images/products/mudderverk-pendant-lamp-brass-opal-white-glass__1353360_pe952221_s5.jpg?f=xl,https://www.ikea.com/my/en/p/mudderverk-pendant-lamp-brass-opal-white-glass-10549409/
105,L004,SCANDINAVIAN,BEDROOM,JÄRPLIDEN,lamp,99,https://www.ikea.com/my/en/images/products/jaerpliden-pendant-lamp-white-glass-nickel-plated__0998174_pe822956_s5.jpg?f=xl,https://www.ikea.com/my/en/p/jaerpliden-pendant-lamp-white-glass-nickel-plated-20499606/
106,L005,SCANDINAVIAN,BEDROOM,RANARP,lamp,99,https://www.ikea.com/my/en/images/products/ranarp-pendant-lamp-off-white__0613060_pe686150_s5.jpg?f=xl,https://www.ikea.com/my/en/p/ranarp-pendant-lamp-off-white-20390970/
107,L006,SCANDINAVIAN,BEDROOM,AGUNNARYD,lamp,259,https://www.ikea.com/my/en/images/products/agunnaryd-pendant-lamp-with-3-lamps-black__0859557_pe782370_s5.jpg?f=xl,https://www.ikea.com/my/en/p/agunnaryd-pendant-lamp-with-3-lamps-black-30342163/
108,L007,SCANDINAVIAN,LIVING ROOM,HEKTAR,lamp,99,https://www.ikea.com/my/en/images/products/hektar-pendant-lamp-dark-grey__0613033_pe686124_s5.jpg?f=xl,https://www.ikea.com/my/en/p/hektar-pendant-lamp-dark-grey-80390359/
109,L008,SCANDINAVIAN,LIVING ROOM,SKURUP,lamp,85,https://www.ikea.com/my/en/images/products/skurup-pendant-lamp-black__0604110_pe681110_s5.jpg?f=xl,https://www.ikea.com/my/en/p/skurup-pendant-lamp-black-80407114/
110,L009,SCANDINAVIAN,LIVING ROOM,MELODI,lamp,35,https://www.ikea.com/my/en/images/products/melodi-pendant-lamp-white__0545277_pe655373_s5.jpg?f=xl,https://www.ikea.com/my/en/p/melodi-pendant-lamp-white-60386527/
111,L010,MODERN,LIVING ROOM,HÖGVIND,lamp,359,https://www.ikea.com/my/en/images/products/hoegvind-pendant-lamp-with-3-lamps-nickel-plated-grey-glass__1045903_pe842765_s5.jpg?f=xl,https://www.ikea.com/my/en/p/hoegvind-pendant-lamp-with-3-lamps-nickel-plated-grey-glass-50492929/
112,L011,MODERN,LIVING ROOM,FYRTIOFYRA,lamp,75,https://www.ikea.com/my/en/images/products/fyrtiofyra-pendant-lamp-chrome-effect-white__1161912_pe889572_s5.jpg?f=xl,https://www.ikea.com/my/en/p/fyrtiofyra-pendant-lamp-chrome-effect-white-70510885/
113,L012,MODERN,LIVING ROOM,ZEBRASÄV,lamp,19,https://www.ikea.com/my/en/images/products/zebrasaev-pendant-lamp-white-plastic__1286742_pe933703_s5.jpg?f=xl,https://www.ikea.com/my/en/p/zebrasaev-pendant-lamp-white-plastic-10522481/
114,RG004,MODERN,LIVING ROOM,STOENSE,rug,250,https://www.ikea.com/my/en/images/products/stoense-rug-low-pile-off-white__0622593_pe690629_s5.jpg?f=xl,https://www.ikea.com/my/en/p/stoense-rug-low-pile-off-white-80426805/
115,RG005,MODERN,LIVING ROOM,FINTSEN,rug,9,https://www.ikea.com/my/en/images/products/fintsen-bath-mat-beige__1255963_pe924835_s5.jpg?f=xl,https://www.ikea.com/my/en/p/fintsen-bath-mat-beige-00581904/
116,RG006,SCANDINAVIAN,BEDROOM,STRÖG,rug,189,https://www.ikea.com/my/en/images/products/stroeg-rug-flatwoven-natural__1062489_pe850843_s5.jpg?f=xl,https://www.ikea.com/my/en/p/stroeg-rug-flatwoven-natural-30527048/
117,RG007,SCANDINAVIAN,BEDROOM,STARREKLINTE,rug,149,https://www.ikea.com/my/en/images/products/starreklinte-rug-flatwoven-natural-black__1205718_pe907217_s5.jpg?f=xl,https://www.ikea.com/my/en/p/starreklinte-rug-flatwoven-natural-black-50569136/
118,ST001,SCANDINAVIAN,LIVING ROOM,GLADOM,side table,59,https://www.ikea.com/my/en/images/products/gladom-tray-table-black__0567223_pe664991_s5.jpg?f=xl,https://www.ikea.com/my/en/p/gladom-tray-table-black-00411997/
119,ST002,MODERN,BEDROOM,EKET,side table,285,https://www.ikea.com/my/en/images/products/eket-cabinet-combination-with-legs-white-dark-grey-wood__0915072_pe784545_s5.jpg?f=xl,https://www.ikea.com/my/en/p/eket-cabinet-combination-with-legs-white-dark-grey-wood-s99386079/
120,ST003,MODERN,BEDROOM,NORDKISA,side table,299,https://www.ikea.com/my/en/images/products/nordkisa-bedside-table-bamboo__0756025_pe748745_s5.jpg?f=xl,https://www.ikea.com/my/en/p/nordkisa-bedside-table-bamboo-40447678/
121,ST004,MODERN,LIVING ROOM,TANEBRO,side table,99,https://www.ikea.com/my/en/images/products/tanebro-side-table-in-outdoor-light-grey-beige__1291392_pe934885_s5.jpg?f=xl,https://www.ikea.com/my/en/p/tanebro-side-table-in-outdoor-light-grey-beige-10578977/
122,ST005,MODERN,LIVING ROOM,GRIMSARBO,side table,99,https://www.ikea.com/my/en/images/products/grimsarbo-side-table-pine-plywood-black__1388880_pe965001_s5.jpg?f=xl,https://www.ikea.com/my/en/p/grimsarbo-side-table-pine-plywood-black-70606166/
123,ST006,SCANDINAVIAN,LIVING ROOM,VITTSJO,side table,79,https://www.ikea.com/my/en/images/products/vittsjoe-laptop-stand-black-brown-glass__0176250_pe329143_s5.jpg?f=xl,https://www.ikea.com/my/en/p/vittsjoe-laptop-stand-black-brown-glass-80250250/
124,ST007,SCANDINAVIAN,BEDROOM,TONSTAD,side table,599,https://www.ikea.com/my/en/images/products/tonstad-bedside-table-oak-veneer__1247217_pe922597_s5.jpg?f=xl,https://www.ikea.com/my/en/p/tonstad-bedside-table-oak-veneer-60489323/
125,ST008,SCANDINAVIAN,BEDROOM,HEMNES,side table,259,https://www.ikea.com/my/en/images/products/hemnes-bedside-table-white-stain__0624424_pe691831_s5.jpg?f=xl,https://www.ikea.com/my/en/p/hemnes-bedside-table-white-stain-10354091/
